"AREACODE","AREANAME","COUNTRY","PROVINCE","CITY","CANTON"
"150783","内蒙古自治区呼伦贝尔市扎兰屯市","中华人民共和国","内蒙古自治区","呼伦贝尔市","扎兰屯市"
"150784","内蒙古自治区呼伦贝尔市额尔古纳市","中华人民共和国","内蒙古自治区","呼伦贝尔市","额尔古纳市"
"150800","内蒙古自治区巴彦淖尔市","中华人民共和国","内蒙古自治区","巴彦淖尔市",""
"150802","内蒙古自治区巴彦淖尔市临河区","中华人民共和国","内蒙古自治区","巴彦淖尔市","临河区"
"150822","内蒙古自治区巴彦淖尔市磴口县","中华人民共和国","内蒙古自治区","巴彦淖尔市","磴口县"
"150824","内蒙古自治区巴彦淖尔市乌拉特中旗","中华人民共和国","内蒙古自治区","巴彦淖尔市","乌拉特中旗"
"150825","内蒙古自治区巴彦淖尔市乌拉特后旗","中华人民共和国","内蒙古自治区","巴彦淖尔市","乌拉特后旗"
"150900","内蒙古自治区乌兰察布市","中华人民共和国","内蒙古自治区","乌兰察布市",""
"150902","内蒙古自治区乌兰察布市集宁区","中华人民共和国","内蒙古自治区","乌兰察布市","集宁区"
"150922","内蒙古自治区乌兰察布市化德县","中华人民共和国","内蒙古自治区","乌兰察布市","化德县"
"150924","内蒙古自治区乌兰察布市兴和县","中华人民共和国","内蒙古自治区","乌兰察布市","兴和县"
"150925","内蒙古自治区乌兰察布市凉城县","中华人民共和国","内蒙古自治区","乌兰察布市","凉城县"
"150927","内蒙古自治区乌兰察布市察哈尔右翼中旗","中华人民共和国","内蒙古自治区","乌兰察布市","察哈尔右翼中旗"
"150929","内蒙古自治区乌兰察布市四子王旗","中华人民共和国","内蒙古自治区","乌兰察布市","四子王旗"
"150981","内蒙古自治区乌兰察布市丰镇市","中华人民共和国","内蒙古自治区","乌兰察布市","丰镇市"
"152200","内蒙古自治区兴安盟","中华人民共和国","内蒙古自治区","兴安盟",""
"152202","内蒙古自治区兴安盟阿尔山市","中华人民共和国","内蒙古自治区","兴安盟","阿尔山市"
"152222","内蒙古自治区兴安盟科尔沁右翼中旗","中华人民共和国","内蒙古自治区","兴安盟","科尔沁右翼中旗"
"152223","内蒙古自治区兴安盟扎赉特旗","中华人民共和国","内蒙古自治区","兴安盟","扎赉特旗"
"152500","内蒙古自治区锡林郭勒盟","中华人民共和国","内蒙古自治区","锡林郭勒盟",""
"152502","内蒙古自治区锡林郭勒盟锡林浩特市","中华人民共和国","内蒙古自治区","锡林郭勒盟","锡林浩特市"
"152522","内蒙古自治区锡林郭勒盟阿巴嘎旗","中华人民共和国","内蒙古自治区","锡林郭勒盟","阿巴嘎旗"
